Quote,Category
" I assume things are going to go my way, so they do ",MANIFEST
" I'm confident in my personality, so people respect and enjoy who I am ",SELF LOVE
 Life is good and I’m living it!,MINDSET
,
 She's interested in me being me ,GIRLS
 I think ahead so when the future comes I'm ready,HUSTLE
" If I exercise my full potential, there's no stopping me ",MINDSET
 Why live mediocre?,HUSTLE
 Just one more day on this beautiful planet ,MINDSET
 I make good decisions,MINDSET
 All that matters is how I let things effect me ,MINDSET
" I can get my way in life, I've just got to go about it the right way ",MINDSET
 I am sure in myself and who I am,SELF LOVE
 I like myself and I don't need other people's approval,SELF LOVE
 I love who I am,SELF LOVE
 People like me for who I am,
" Feeling: Softening up, letting go of strict logic, goals, and the right way of acting.                                                                                                                                                                                               ",WISDOM
,
" There is no right way, but there is my way",MINDSET
 I'm going to do things MY way in life,MINDSET
 I love who I am,SELF LOVE
" Logic will get you from A to B, IMAGINATION will take you everywhere ",WISDOM
 Whatever consumes your mind controls your life ,WISDOM
" If you look good you feel good, if you feel good, you LIVE good ",MINDSET
 Why stop dreaming when you wake up?,WISDOM
" Life may not be perfect, but I'm still thankful for it!",MINDSET
 You can't start the next chapter of your life if you keep reading the last one ,WISDOM
" They say I dream too big, I say they think too small ",HUSTLE
" Nobody is busy, it's just a matter of priorities ",HUSTLE
 Energy is contagious - Both positive and negative.,WISDOM
" Happiness is not about doing, it's about being ",MINDSET
 You will never influence the world while trying to be like it ,HUSTLE
 You will never find greater wealth than peace of mind ,WISDOM
,
,
,
 Work smarter not harder,HUSTLE
 I've got what it takes,HUSTLE
 Be kind because everyone is fighting a hard battle,WISDOM
" It's not about the destination, it's about the journey.",MINDSET
 Everything looks hard until you know how to do it,MINDSET
 It takes the same amount of energy to worry as it does to believe!,MINDSET
 There is nobody like me.,HUSTLE
 Knowledge is power.,WISDOM
" The world doesn't want to see you hide yourself and create something fake, the world wants to see you.",SELF LOVE
" Build the castle, grow the kingdom.",HUSTLE
 Don't forget what you're here for,MINDSET
" You have to be in a state of play to design, if you're not in a state of play you can't do anything!",HUSTLE
 The master has failed more times than the beginner has even tried,WISDOM
 If you want to be strong learn to fight alone.,MANIFEST
 Never let someone waste your time twice.,MINDSET
 Learn to use criticism as fuel and you will never run out of energy.,HUSTLE
" I can't afford to hate anyone, I don't have that kind of time.",MINDSET
" Motivation get you started, discipline keeps you going.",HUSTLE
 Save well they spend. Study while they party. Work while they sleep. Before long you’ll see the difference,HUSTLE
 I'm not picky. I just know what I deserve.,MINDSET
 The best memories are those that were never planned.,WISDOM
 99% of the things you worry about never actually happen.,MINDSET
 You’re not rich until you have something money can’t buy.,WISDOM
" First they call you crazy, then they call you for advice.",HUSTLE
" Life doesn't get easier, you just get stronger.",HUSTLE
 One bad chapter doesn’t mean your story is over.,MINDSET
 What you do in private will be rewarded in public,HUSTLE
 80% of success is ambition,HUSTLE
" If you’re getting a certificate, you are replaceable",HUSTLE
 Everything you learn becomes a shortcut for figuring out something else.,HUSTLE
 Doing things that scare me is brave,MINDSET
 Positivity and creativity are the closest things we have to magic.,MINDSET
 Health is wealth,WISDOM
 Only good people. Cut out the excess and move forward!,MINDSET
 Everyone has an opinion.,WISDOM
 Seed your vision to your values,WISDOM
 Never limit yourself to what is possible,MINDSET
 It's a big world. Everyone good likes me and I don't have time to hate anyone,SELF LOVE
 The greatest successes are on the other side of fear.,WISDOM
 I follow my intuition straight to success ,MANIFEST
